"lon","lat","ff.xco2","time","obs","uncert","qf","lat1","lat2","lat3","lat4","lon1","lon2","lon3","lon4","obs_enhance","uncert_bg","ver_0.8","ver_0.9","ver_1.1","ver_1.2","wind_ff.xco2","uncert_ver","uncert_ver_percent","uncert_wind","uncert_wind_percent","uncert_trans","uncert_trans_percent","uncert_total","uncert_total_percent"
19.366142,51.096809,0.015779,"2020-04-10 13:35:48",414.651703,0.575162,0,51.091412,51.08847,51.102051,51.10503,19.33963,19.371826,19.392578,19.360291,-0.968297000000007,0.83,0.00391223027532602,0.00776767951523028,0.00623496324410479,0.0127466929484284,0.0194247882061747,0.00486381912157052,0.308246347776825,0.00257796156335607,0.163379273930925,0.00550478176402083,0.348867593891934,1.00982257296332,63.9978815491048
19.366167,51.144291,0.011803,"2020-04-10 13:35:47",414.673798,0.554356,0,51.138783,51.136234,51.149944,51.152477,19.339417,19.37207,19.392853,19.36026,-0.946202000000028,0.83,0.0120547069994328,0.0237983995801504,0.016622116947256,0.0333727107269332,0.0427448813435477,0.00913622177603492,0.774059287980591,0.0218792141206921,1.85369940868356,0.0237101362054288,2.00882285905523,0.998385068645801,84.587398851631
19.367094,51.317314,0.006809,"2020-04-10 13:36:02",413.573151,0.650054,0,51.311737,51.30896,51.322895,51.325668,19.344299,19.376892,19.389893,19.3573,-2.04684900000001,0.83,0.00675352346552909,0.00672460069682186,0.00674469113755832,0.00691489602566778,0.00706197070426188,7.68413195986826e-05,0.0112852576881602,0.000178877300425112,0.0262707152922767,0.000194683530389816,0.0285920884696455,1.0542628898039,154.83373326537
19.367456,51.364605,0.008231,"2020-04-10 13:36:19",415.18399,0.624802,0,51.358791,51.355991,51.370422,51.373226,19.347992,19.380646,19.386841,19.354187,-0.43601000000001,0.83,0.00810957841042056,0.00814103954947167,0.00822888885376526,0.00829350121053569,0.00828778598116752,7.44768890000443e-05,0.00904834029887551,4.01537523598842e-05,0.00487835650101861,8.46116470924886e-05,0.0102796315262409,1.03888283572457,126.215871185102
19.368883,51.207344,0.126642,"2020-04-10 13:36:03",415.44397,0.647776,0,51.201672,51.198895,51.212994,51.215775,19.3461,19.378601,19.391785,19.359222,-0.176030000000026,0.83,0.0683534716026151,0.129240912859393,0.167671037507096,0.125769443704509,0.223748945563064,0.0354971636600399,0.280295349568389,0.0686649797079555,0.542197530897771,0.0772976588662399,0.610363535527233,1.05569345656881,8.33604536069242
19.37394,51.379238,0.007392,"2020-04-10 13:36:20",414.499786,0.579265,0,51.373791,51.370987,51.384701,51.387497,19.354553,19.387207,19.39325,19.360596,-1.12021400000003,0.83,0.00740134256253129,0.00737357996539335,0.00730979751122892,0.00726921672835431,0.00728770246101504,5.72165810861329e-05,0.00774033835039677,7.37494970773339e-05,0.00997693412842721,9.33419812857307e-05,0.0126274325332428,1.01215016125955,136.925075927969
19.377174,51.127686,0.010707,"2020-04-10 13:35:47",415.166412,0.55262,0,51.122311,51.119598,51.133053,51.135773,19.350708,19.383118,19.403473,19.371246,-0.453588000000025,0.83,0.0111511195461501,0.0170885474486458,0.0214680944555013,0.0321598582458546,0.0367617382694333,0.00883359057240472,0.825029473466398,0.0184234821123569,1.72069506980078,0.0204317648661395,1.90826233923037,0.997349648526305,93.149308725722
19.377949,51.253716,1.5905,"2020-04-10 13:36:02",422.421417,0.653495,0,51.248058,51.245281,51.259403,51.262188,19.35498,19.387543,19.400696,19.368164,6.80141700000001,0.83,1.43431110221504,1.48170298371635,2.01329822460924,2.24871370507328,2.48168964056534,0.358836902781327,0.225612639284079,0.630166238166954,0.396206374201166,0.725171297365792,0.455939199852746,1.28133880201459,0.805620120725929
19.380278,51.317085,0.007998,"2020-04-10 13:36:20",413.792572,0.680011,0,51.311268,51.308472,51.32291,51.32571,19.36084,19.393433,19.399628,19.367035,-1.827428,0.83,0.00789864169458061,0.00800290814362944,0.00787415039232329,0.00789234331531257,0.00784000363513068,6.20658243981655e-05,0.00776016809179363,0.00011172030100192,0.0139685297576794,0.000127802942901106,0.0159793627033141,1.07299346524319,134.157722586045
19.382883,51.221794,1.335339,"2020-04-10 13:36:03",417.395752,0.70624,0,51.216145,51.21336,51.227512,51.230282,19.359955,19.392517,19.405365,19.372955,1.77575200000001,0.83,0.949968909856203,1.37765114794408,1.39874420193511,1.59124466956083,1.5035294686575,0.234358470570986,0.175504849757991,0.118928620918662,0.0890624934332493,0.262807742659889,0.196809755919575,1.12104542602072,0.839521219720778
19.383801,51.097027,0.012929,"2020-04-10 13:35:31",414.594299,0.593277,0,51.091919,51.089207,51.102142,51.10487,19.352112,19.384399,19.415466,19.383148,-1.02570100000003,0.83,0.0110398949289929,0.00702584914180658,0.0164257197401758,0.0235211979159827,0.0334329980803434,0.00622310259990606,0.481328996821569,0.0144985160840468,1.12139500998119,0.0157776416047621,1.22032961596118,1.02035608132828,78.9199536954353
19.38406,51.080643,0.006642,"2020-04-10 13:35:31",414.417328,0.520922,0,51.075653,51.072918,51.085632,51.088383,19.352814,19.385223,19.415344,19.382812,-1.20267200000001,0.83,0.00582104440243247,0.00800444750110361,0.0138402832025794,0.0140957376249629,0.0436200066477968,0.00399171489183775,0.600980862968647,0.0261473992554184,3.93667558798831,0.0264503360205494,3.9822848570535,0.98028534129589,147.588880050571
19.384485,51.064426,0.00871,"2020-04-10 13:35:31",414.126251,0.602571,0,51.059006,51.056293,51.069813,51.072544,19.352509,19.384766,19.416718,19.384369,-1.49374899999998,0.83,0.00664200261914299,0.00981065316835108,0.00729034538986521,0.0141002116798984,0.0220774595648913,0.00294762591916034,0.338418590029889,0.00945222130557162,1.08521484564542,0.00990116084955738,1.13675784725113,1.02571430867819,117.762836817243
19.385105,51.048256,0.005299,"2020-04-10 13:35:32",415.3255,0.666017,0,51.043427,51.04071,51.05307,51.055828,19.354187,19.386536,19.416107,19.383606,-0.294500000000028,0.83,0.00468759845838889,0.00299974190103307,0.0120732236173824,0.011050049289146,0.013621067780648,0.00406623030411707,0.767358049465384,0.00588459056119028,1.11050963600496,0.00715280608984822,1.34984074162072,1.06420383711203,200.831069468206
19.386093,51.299892,0.00594,"2020-04-10 13:36:02",413.280243,0.689468,0,51.294445,51.291676,51.305347,51.308117,19.363342,19.395844,19.408752,19.376282,-2.33975700000002,0.83,0.00558006031663394,0.00579635152828422,0.0059449211909137,0.00610163682861417,0.00627492963974743,0.000195974666167651,0.0329923680416921,0.000236831019485775,0.0398705420009722,0.000307400392924592,0.051750907899763,1.07901168553404,181.651798911454
19.386271,51.032337,0.011456,"2020-04-10 13:35:32",416.071533,0.597932,0,51.027218,51.024487,51.037495,51.040249,19.354706,19.387085,19.417633,19.385193,0.451532999999984,0.83,0.00241094387630868,0.0078220908678664,0.014244922036972,0.0159530657199175,0.0220208416381467,0.00541302089452115,0.472505315513369,0.00747047116449553,0.652101184051635,0.0092254395355496,0.805293255547277,1.02298963111002,89.2972792519225
19.386881,51.206219,0.323495,"2020-04-10 13:35:47",414.908051,0.751632,0,51.200909,51.198025,51.21172,51.214462,19.360382,19.392975,19.412781,19.381042,-0.711949000000004,0.83,0.132679910926338,0.338533579402465,0.257239591637664,0.413079956843467,0.45068735995846,0.105361028757461,0.325696003825288,0.0899385802417474,0.278021546675366,0.138527595073082,0.428221750175682,1.12829098995815,3.48781585482974
19.386944,51.331951,0.009655,"2020-04-10 13:36:20",415.243439,0.65907,0,51.326138,51.323334,51.337772,51.340572,19.367523,19.400116,19.406342,19.373718,-0.376560999999981,0.83,0.00997129360295319,0.00966327383506923,0.00962613208441713,0.00942147389813458,0.00905502360317247,0.000196662648699012,0.0203689952044549,0.000424247378748618,0.043940691739888,0.000467613126172036,0.0484322243575387,1.05984597162137,109.771721555812
